Prediction_Id	status	act_status
704	known_chembl	
705	known_chembl	
706	known_chembl	
707	known_chembl	
708	known	
709	confirmed	10uM
710	known	
711	known_chembl	
712	known	
713	known	
714	no data	
715	known_chembl	
716	known	
717	known_chembl	
718	no data	
719	no data	
720	known	
721	inactive	
722	known_chembl	
723	known	
724	known_chembl	
725	known	
726	known	
727	known	
728	known_chembl	
729	known	
730	known_chembl	
731	known_chembl	
732	known	
733	known	
734	known	
735	inactive	
736	known_chembl	
737	inactive	
738	inactive	
739	known_chembl	
740	inactive	
741	confirmed	1uM
742	known	
743	known_chembl	
744	inactive	
745	known	
746	known	
747	known	
748	known	
749	known_chembl	
750	known_chembl	
751	known_chembl	
752	inactive	
753	no data	
754	no data	
755	no data	
756	known	
757	known	
758	inactive	
759	known	
760	known_chembl	
761	inactive	
762	known_chembl	
763	known	
764	known	
765	inactive	
766	known_chembl	
767	inactive	
768	known_chembl	
769	known	
770	known_chembl	
771	known	
772	known	
773	known	
774	inactive	
775	inactive	
776	known	
777	inactive	
778	known_chembl	
779	known	
780	known_chembl	
781	known	
782	known	
783	known_chembl	
784	confirmed	>10uM
785	known	
786	confirmed	10uM
787	known	
788	no data	
789	known	
790	known	
791	confirmed	1uM
792	known_chembl	
793	inactive	
794	no data	
795	known_chembl	
796	known_chembl	
797	no data	
798	no data	
799	known_chembl	
800	inactive	
801	known	
802	no data	
803	no data	
804	known	
805	known	
806	known	
807	known_chembl	
808	no data	
809	inactive	
810	inactive	
811	no data	
812	known	
813	confirmed	10uM
814	known_chembl	
815	known_chembl	
816	no data	
817	known	
818	known	
819	no data	
820	known	
821	inactive	
822	confirmed	>10uM
823	no data	
824	known	
825	known	
826	known	
827	known	
828	inactive	
829	known	
830	confirmed	10uM
831	known_chembl	
832	inactive	
833	inactive	
834	known_chembl	
835	no data	
836	known	
837	known	
838	inactive	
839	known_chembl	
840	inactive	
841	known_chembl	
842	no data	
843	inactive	
844	known_chembl	
845	confirmed	1uM
846	known_chembl	
847	known	
848	known_chembl	
849	confirmed	10uM
850	known_chembl	
851	known	
852	known	
853	known_chembl	
854	known_chembl	
855	known	
856	known_chembl	
857	known	
858	known	
859	known	
860	known_chembl	
861	known_chembl	
862	no data	
863	confirmed	10uM
864	known_chembl	
865	known	
866	no data	
867	known	
868	no data	
869	known_chembl	
870	known_chembl	
871	known	
872	known	
873	no data	
874	known	
875	known	
876	no data	
877	known	
878	inactive	
879	known	
880	no data	
881	inactive	
882	known_chembl	
883	confirmed	10uM
884	known	
885	known_chembl	
886	known_chembl	
887	known	
888	known_chembl	
889	known_chembl	
890	inactive	
891	known	
892	inactive	
893	known	
894	confirmed	>10uM
895	known	
896	known_chembl	
897	inactive	
898	no data	
899	known	
900	known	
901	known	
902	inactive	
903	inactive	
904	known_chembl	
905	known_chembl	
906	known_chembl	
907	no data	
908	inactive	
909	known	
910	known	
911	known_chembl	
912	known	
913	known	
